PN	Section	Features	Grade	Params_preview
TPF147	视频滤波驱动	EMI滤波器 工业级 视频滤波	工业级	Part Number: TPF147 | Status: Production | Rating: Industrial | Resolution: 1080P/60, 1080P/30 | Number of Channels: 1-FHD or HD | VDD (Min) (V): 3 | VDD (Max) (V): 5.5 | Quiescent Current (Typ) (mA): 11.5 | Voltage Gain (Typ) (dB): 6 | Stop-Band Rejection@27MHz (dB): 32dB@74MHz, 34dB@148MHz | Diff.
TPF153	视频滤波驱动	视频滤波 EMI滤波器 工业级	工业级	Part Number: TPF153 | Status: Production | Rating: Industrial | Resolution: 1080p, 1080i | Number of Channels: 3-CH | VDD (Min) (V): 3 | VDD (Max) (V): 5.5 | Quiescent Current (Typ) (mA): 33 | Voltage Gain (Typ) (dB): 6 | Stop-Band Rejection@27MHz (dB): / | Diff. Gain (Typ) (%): 0.4 | Diff. Phase (T
TPF605A	音频线路驱动	工业级 EMI滤波器 音频功放	工业级	Part Number: TPF605A | Status: Production | Rating: Industrial | Features: / | VDD (Min) (V): 2.7 | VDD (Max) (V): 5.5 | Iq (typ) (mA): 4 | Output Voltage, RL = 2.5kΩ, VCC = 5.0V (Min) (Vrms): 3.05 | Output Voltage, RL = 2.5kΩ, VCC = 3.3V (Min) (Vrms): 2.05 | Input Type: Single End | Shutdown: Yes |
TPF605C	音频线路驱动	工业级 EMI滤波器 音频功放	工业级	Part Number: TPF605C | Status: Production | Rating: Industrial | Features: / | VDD (Min) (V): 2.7 | VDD (Max) (V): 5.5 | Iq (typ) (mA): 4 | Output Voltage, RL = 2.5kΩ, VCC = 5.0V (Min) (Vrms): 3.05 | Output Voltage, RL = 2.5kΩ, VCC = 3.3V (Min) (Vrms): 2.05 | Input Type: Single End | Shutdown: Yes |
TPF607A	音频线路驱动	工业级 EMI滤波器 音频功放	工业级	Part Number: TPF607A | Status: Production | Rating: Industrial | Features: / | VDD (Min) (V): 2.7 | VDD (Max) (V): 5.5 | Iq (typ) (mA): 4 | Output Voltage, RL = 2.5kΩ, VCC = 5.0V (Min) (Vrms): 3.05 | Output Voltage, RL = 2.5kΩ, VCC = 3.3V (Min) (Vrms): 2.05 | Input Type: Single End | Shutdown: Yes |
TPF632A	音频线路驱动	工业级 EMI滤波器 音频功放	工业级	Part Number: TPF632A | Status: Production | Rating: Industrial | Features: / | VDD (Min) (V): 2.7 | VDD (Max) (V): 5.5 | Iq (typ) (mA): 4 | Output Voltage, RL = 2.5kΩ, VCC = 5.0V (Min) (Vrms): 3.05 | Output Voltage, RL = 2.5kΩ, VCC = 3.3V (Min) (Vrms): 2.05 | Input Type: Differential / Single End | 
TPF632C	音频线路驱动	工业级 EMI滤波器 音频功放	工业级	Part Number: TPF632C | Status: Production | Rating: Industrial | Features: / | VDD (Min) (V): 2.7 | VDD (Max) (V): 5.5 | Iq (typ) (mA): 4 | Output Voltage, RL = 2.5kΩ, VCC = 5.0V (Min) (Vrms): 3.05 | Output Voltage, RL = 2.5kΩ, VCC = 3.3V (Min) (Vrms): 2.05 | Input Type: Differential / Single End | 
TPH2501	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TPH2501 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 2.5 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 10000 | GBW (Typ) (MHz): 120 | Slew Rate (Typ) (V/μs): 200 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA):
TPH2502	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TPH2502 | Status: Production | Rating: Industrial | Number of Channels: 2 | Supply Voltage (Min) (V): 2.5 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 7500 | GBW (Typ) (MHz): 120 | Slew Rate (Typ) (V/μs): 200 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 
TPH2503	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TPH2503 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 2.5 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 10000 | GBW (Typ) (MHz): 120 | Slew Rate (Typ) (V/μs): 200 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA):
TPH2504	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TPH2504 | Status: Production | Rating: Industrial | Number of Channels: 4 | Supply Voltage (Min) (V): 2.5 | Supply Voltage (Max) (V): 5.5 | Iq per channel (typ) (μA): 7500 | GBW (Typ) (MHz): 120 | Slew Rate (Typ) (V/μs): 200 | Rail-Rail In: Yes | Rail-Rail Out: Yes | Ishort (Typ) (mA): 
TPH2861	低压运算放大器(Vs＜10V)	运放 工业级	工业级	Part Number: TPH2861 | Status: Production | Rating: Industrial | Number of Channels: 1 | Supply Voltage (Min) (V): 3.3 | Supply Voltage (Max) (V): 5.25 | Iq per channel (typ) (μA): 22000 | GBW (Typ) (MHz): 8000 | Slew Rate (Typ) (V/μs): 2750 | Rail-Rail In: No | Rail-Rail Out: No | Ishort (Typ) (mA)
TPH2861Q	低压运算放大器(Vs＜10V)	运放 车规AEC-Q100	车规AEC-Q100	Part Number: TPH2861Q | Status: Production | Rating: Automotive | Number of Channels: 1 | Supply Voltage (Min) (V): 3.3 | Supply Voltage (Max) (V): 5.25 | Iq per channel (typ) (μA): 22000 | GBW (Typ) (MHz): 8000 | Slew Rate (Typ) (V/μs): 2750 | Rail-Rail In: No | Rail-Rail Out: No | Ishort (Typ) (mA
TPH2865Q	低压运算放大器(Vs＜10V)	运放 车规AEC-Q100	车规AEC-Q100	Part Number: TPH2865Q | Status: Production | Rating: Automotive | Number of Channels: 1 | Supply Voltage (Min) (V): 3.3 | Supply Voltage (Max) (V): 5.25 | Iq per channel (typ) (μA): 11000 | GBW (Typ) (MHz): 4000 | Slew Rate (Typ) (V/μs): 1030 | Rail-Rail In: No | Rail-Rail Out: No | Ishort (Typ) (mA
TPK1031	电源时序控制	工业级 电源时序 模拟开关	工业级	Part Number: TPK1031 | Status: Production | Rating: Industrial | VCC (V): 2.7 ~ 5.5 | Power-up Sequence Control: FLAG1->FLAG2->FLAG3 | Output Voltage (V): 0 ~ VCC | Number of Channels: 3 | Junction Temperature Range (℃): -40 to +125 | Package: MSOP8
TPK1032	电源时序控制	工业级 电源时序 模拟开关	工业级	Part Number: TPK1032 | Status: Production | Rating: Industrial | VCC (V): 2.7 ~ 5.5 | Power-up Sequence Control: FLAG1->FLAG2->FLAG3 | Output Voltage (V): 0 ~ VCC | Number of Channels: 3 | Junction Temperature Range (℃): -40 to +125 | Package: SOT23-6
TPK1034	电源时序控制	工业级 电源时序 模拟开关	工业级	Part Number: TPK1034 | Status: Production | Rating: Industrial | VCC (V): 2 ~ 5.5 | Timing Control: Adjustable Time by Capacitor | Power-up Sequence Control: Adjustable Time by Capacitor | Power-down Sequence Control: Adjustable Time by Capacitor | Open-Drain Output: Yes | Output Voltage (V): 0~6 | 
TPL5031	低压LDO	LDO 工业级	工业级	Part Number: TPL5031 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.5 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Fixed (0.8, 1.2, 1.5, 1.8, 2.5, 2.8, 3.3) | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (typ) (mA): 0.055 | Dropout (typ) (mV): 250 | PSR
TPL5080	高压 LDO	LDO 工业级	工业级	Part Number: TPL5080 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.7 | Maximum Input Voltage (V): 16 | Output Voltage (V): Fixed (3.3, 5) | Accuracy (max): ±2% | Max Output Current (mA): 800 | Iq (mA): 0.8 | Dropout (mV): 320 | PSRR (dB): 50 | Noise (μVRMS): 0.003%VOUT | T
TPL51200	低压LDO	LDO 工业级	工业级	Part Number: TPL51200 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.375 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Adjustable (REFIN) | Accuracy (max): ±25mV | Max Output Current (mA): ±3000 | Iq (typ) (mA): 0.8 | Dropout (typ) (mV): / | PSRR @ 1kHz (dB): / | N
TPL51200-S	低压LDO	LDO 工业级	工业级	Part Number: TPL51200-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.375 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Adjustable (REFIN) | Accuracy (max): ±25mV | Max Output Current (mA): ±3000 | Iq (typ) (mA): 0.8 | Dropout (typ) (mV): / | PSRR @ 1kHz (dB): / |
TPL51201-S	低压LDO	LDO 工业级	工业级	Part Number: TPL51201-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.375 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Adjustable (REFIN) | Accuracy (max): ±25mV | Max Output Current (mA): ±3000 | Iq (typ) (mA): 0.8 | Dropout (typ) (mV): / | PSRR @ 1kHz (dB): / |
TPL51206	低压LDO	LDO 工业级	工业级	Part Number: TPL51206 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 3 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Adjustable (50% of REFIN) | Accuracy (max): ±40mV | Max Output Current (mA): ±2000 | Iq (typ) (mA): 0.89 | Dropout (typ) (mV): / | PSRR @ 1kHz (dB): /
TPL6305	低压LDO	LDO 工业级	工业级	Part Number: TPL6305 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.4 | Maximum Input Voltage (V): 6.5 | Output Voltage (V): Adjustable (0.5 to 5.2) | Accuracy (max): ±2% | Max Output Current (mA): 3000 | Iq (typ) (mA): 5 | Dropout (typ) (mV): 145 | PSRR @ 1kHz (dB): 63 | N
TPL6305-S	低压LDO	LDO 工业级	工业级	Part Number: TPL6305-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.4 | Maximum Input Voltage (V): 6.5 | Output Voltage (V): Adjustable (0.5 to 5.2) | Accuracy (max): ±2% | Max Output Current (mA): 3000 | Iq (typ) (mA): 5 | Dropout (typ) (mV): 145 | PSRR @ 1kHz (dB): 63 |
TPL7031	低压LDO	LDO 工业级	工业级	Part Number: TPL7031 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.05 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Fixed 3.3 | Accuracy (max): ±1.5% | Max Output Current (mA): 300 | Iq (typ) (mA): 0.00035 | Dropout (typ) (mV): 310 | PSRR @ 1kHz (dB): 55 | Noise (
TPL710	低压LDO	LDO 工业级	工业级	Part Number: TPL710 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.4 | Maximum Input Voltage (V): 6 | Output Voltage (V): Fixed (1.0, 1.2, 1.5, 1.8, 2.5, 2.8, 3.0, 3.3) | Accuracy (max): ±3% | Max Output Current (mA): 200 | Iq (typ) (mA): 0.0014 | Dropout (typ) (mV): 170 | 
TPL720	低压LDO	LDO 工业级	工业级	Part Number: TPL720 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.4 | Maximum Input Voltage (V): 6 | Output Voltage (V): Fixed (1.0, 1.2, 1.5, 1.8, 2.5, 2.8, 3.0, 3.3) | Accuracy (max): ±3% | Max Output Current (mA): 400 | Iq (typ) (mA): 0.0014 | Dropout (typ) (mV): 350 | 
TPL730	低压LDO	LDO 工业级	工业级	Part Number: TPL730 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.4 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Fixed (1.2, 1.5, 1.8, 2.5, 2.8, 3.0, 3.3), | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (typ) (mA): 0.049 | Dropout (typ) (mV): 200 | PSR
TPL740	低压LDO	LDO 工业级	工业级	Part Number: TPL740 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.4 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Fixed (1.2, 1.5, 1.8, 2.5, 2.8, 3.0, 3.3), | Accuracy (max): ±2% | Max Output Current (mA): 500 | Iq (typ) (mA): 0.049 | Dropout (typ) (mV): 200 | PSR
TPL8020	高压 LDO	LDO 工业级	工业级	Part Number: TPL8020 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 6 | Maximum Input Voltage (V): 24 | Output Voltage (V): Fixed (5) | Accuracy (max): ±2% | Max Output Current (mA): 200 | Iq (mA): 0.0042 | Dropout (mV): 720 | PSRR (dB): 60 | Noise (μVRMS): 182 | Temperature 
TPL8031	高压 LDO	LDO 工业级	工业级	Part Number: TPL8031 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 3 | Maximum Input Voltage (V): 40 | Output Voltage (V): Fixed (3.3, 5) | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (mA): 0.003 | Dropout (mV): 440 | PSRR (dB): 65 | Noise (μVRMS): / | Temperatur
TPL8031Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8031Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 3 | Maximum Input Voltage (V): 42 | Output Voltage (V): Fixed (3.3, 5) | Accuracy (max): ±2.5% | Max Output Current (mA): 300 | Iq (mA): 0.003 | Dropout (mV): 440 | PSRR (dB): 65 | Noise (μVRMS): / | Tempera
TPL8032	高压 LDO	LDO 工业级	工业级	Part Number: TPL8032 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.5 | Maximum Input Voltage (V): 20 | Output Voltage (V): Fixed (3.3, 5), Adjustable (1.22 to 18) | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (mA): 0.098 | Dropout (mV): 375 | PSRR (dB): 79 | No
TPL8032-S	高压 LDO	LDO 工业级	工业级	Part Number: TPL8032-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.5 | Maximum Input Voltage (V): 20 | Output Voltage (V): Fixed (1.8, 3.3, 5), Adjustable (1.22 to 18) | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (mA): 0.098 | Dropout (mV): 375 | PSRR (dB): 
TPL8032Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8032Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 2.5 | Maximum Input Voltage (V): 20 | Output Voltage (V): Adjustable (1.22 to 18) | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (mA): 0.096 | Dropout (mV): 375 | PSRR (dB): 96 | Noise (μVRMS): 5.
TPL8033	高压 LDO	LDO 工业级	工业级	Part Number: TPL8033 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.5 | Maximum Input Voltage (V): 20 | Output Voltage (V): Adjustable (1.2 to 15) | Accuracy (max): ±2% | Max Output Current (mA): 200 | Iq (mA): 2.2 | Dropout (mV): 250 | PSRR (dB): 110 | Noise (μVRMS): 1 | T
TPL8034Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8034Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 3 | Maximum Input Voltage (V): 42 | Output Voltage (V): Fixed (3.3, 5) | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (mA): 0.003 | Dropout (mV): 440 | PSRR (dB): 65 | Noise (μVRMS): / | Temperatu
TPL8035Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8035Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 3 | Maximum Input Voltage (V): 42 | Output Voltage (V): Fixed (3.3, 5) | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (mA): 0.003 | Dropout (mV): 440 | PSRR (dB): 65 | Noise (μVRMS): / | Temperatu
TPL8051Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8051Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 4 | Maximum Input Voltage (V): 42 | Output Voltage (V): Adjustable (1.2 to 18) | Accuracy (max): ±2% | Max Output Current (mA): 450 | Iq (mA): 5 | Dropout (mV): 700 | PSRR (dB): 50 | Noise (μVRMS): - | Tempe
TPL810	高压 LDO	LDO 工业级	工业级	Part Number: TPL810 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 3.6 | Maximum Input Voltage (V): 24 | Output Voltage (V): Fixed (2.8, 3, 3.3, 5), Adjustable (1.2 to 15) | Accuracy (max): ±2% | Max Output Current (mA): 180 | Iq (mA): 0.002 | Dropout (mV): 800 | PSRR (dB): 6
TPL8151	高压 LDO	工业级 LDO	工业级	Part Number: TPL8151 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.75 | Maximum Input Voltage (V): 29 | Output Voltage (V): Adjustable (1.25 to 25) | Accuracy (max): ±2% | Max Output Current (mA): 1500 | Iq (mA): 0.075 | Dropout (mV): 1300 | PSRR (dB): 72 | Noise (μVRMS): 
TPL8151-S	高压 LDO	工业级 LDO	工业级	Part Number: TPL8151-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.75 | Maximum Input Voltage (V): 29 | Output Voltage (V): Adjustable (1.25 to 25) | Accuracy (max): ±2% | Max Output Current (mA): 1500 | Iq (mA): 0.075 | Dropout (mV): 1300 | PSRR (dB): 72 | Noise (μVRMS)
TPL8151Q	高压 LDO	车规AEC-Q100 LDO	车规AEC-Q100	Part Number: TPL8151Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 2.75 | Maximum Input Voltage (V): 29 | Output Voltage (V): Adjustable (1.25 to 25) | Accuracy (max): ±2% | Max Output Current (mA): 1500 | Iq (mA): 0.075 | Dropout (mV): 1300 | PSRR (dB): 72 | Noise (μVRMS):
TPL820	高压 LDO	LDO 工业级	工业级	Part Number: TPL820 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 3.6 | Maximum Input Voltage (V): 42 | Output Voltage (V): Fixed (2.8, 3, 3.3, 5) | Accuracy (max): ±2% | Max Output Current (mA): 180 | Iq (mA): 0.002 | Dropout (mV): 720 | PSRR (dB): 65 | Noise (μVRMS): 70 | 
TPL8536Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8536Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 4 | Maximum Input Voltage (V): 42 | Output Voltage (V): Fixed (3.3, 5) | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (mA): 0.006 | Dropout (mV): 260 | PSRR (dB): 50 | Noise (μVRMS): / | Temperatu
TPL8556Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8556Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 4 | Maximum Input Voltage (V): 42 | Output Voltage (V): Fixed (3.3, 5) | Accuracy (max): ±2% | Max Output Current (mA): 500 | Iq (mA): 0.006 | Dropout (mV): 440 | PSRR (dB): 50 | Noise (μVRMS): / | Temperatu
TPL8601Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8601Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 3.5 | Maximum Input Voltage (V): 42 | Output Voltage (V): Adjustable (1.5 to 18) | Accuracy (max): ±4mV | Max Output Current (mA): 150 | Iq (mA): 0.05 | Dropout (mV): 270 | PSRR (dB): 65 | Noise (μVRMS): 80 
TPL8602Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8602Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 3.5 | Maximum Input Voltage (V): 42 | Output Voltage (V): Adjustable (1.5 to 18) | Accuracy (max): ±4mV | Max Output Current (mA): 250 | Iq (mA): 0.05 | Dropout (mV): 340 | PSRR (dB): 65 | Noise (μVRMS): 80 
TPL8650Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8650Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 4 | Maximum Input Voltage (V): 42 | Output Voltage (V): Adjustable (1.5 to 18) | Accuracy (max): ±4mV | Max Output Current (mA): 50 | Iq (mA): 0.055 | Dropout (mV): 635 | PSRR (dB): 65 | Noise (μVRMS): 25 | 
TPL8771Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8771Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 3.5 | Maximum Input Voltage (V): 42 | Output Voltage (V): ADJ (1.5 to 20) | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (mA): 0.43 | Dropout (mV): 900 | PSRR (dB): 80 | Noise (μVRMS): 350 | Tempe
TPL8772Q	高压 LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL8772Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 4.5 | Maximum Input Voltage (V): 42 | Output Voltage (V): ADJ (1.5 to 20) | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (mA): 0.43 | Dropout (mV): 900 | PSRR (dB): 80 | Noise (μVRMS): 350 | Tempe
TPL9032	低压LDO	LDO 工业级	工业级	Part Number: TPL9032 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.75 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Fixed (1.2, 1.5, 1.8, 1.875, 2.5, 2.8, 2.85, | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (typ) (mA): 0.12 | Dropout (typ) (mV): 80 | P
TPL9032-S	低压LDO	LDO 工业级	工业级	Part Number: TPL9032-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.75 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Fixed 3.3 | Accuracy (max): ±2% | Max Output Current (mA): 300 | Iq (typ) (mA): 0.12 | Dropout (typ) (mV): 80 | PSRR @ 1kHz (dB): 81.9 | Noise (μV
TPL9052	低压LDO	LDO 工业级	工业级	Part Number: TPL9052 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.75 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Fixed (1.2, 1.8, 3.3) | Accuracy (max): ±2% | Max Output Current (mA): 500 | Iq (typ) (mA): 0.12 | Dropout (typ) (mV): 150 | PSRR @ 1kHz (dB): 82 | 
TPL9052-S	低压LDO	LDO 工业级	工业级	Part Number: TPL9052-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.75 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Fixed (1.2, 1.5, 1.8, 2.5, 2.8, 3.0, 3.3, 3.6) | Accuracy (max): ±2% | Max Output Current (mA): 500 | Iq (typ) (mA): 0.12 | Dropout (typ) (mV): 15
TPL9053	低压LDO	LDO 工业级	工业级	Part Number: TPL9053 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.7 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Adjustable (0.6 to 5.3) | Accuracy (max): ±1.5% | Max Output Current (mA): 500 | Iq (typ) (mA): 0.13 | Dropout (typ) (mV): 150 | PSRR @ 1kHz (dB): 89
TPL9053-S	低压LDO	LDO 工业级	工业级	Part Number: TPL9053-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.7 | Maximum Input Voltage (V): 5.5 | Output Voltage (V): Adjustable (0.6 to 5.3) | Accuracy (max): ±1.5% | Max Output Current (mA): 500 | Iq (typ) (mA): 0.13 | Dropout (typ) (mV): 150 | PSRR @ 1kHz (dB): 
TPL910A	低压LDO	LDO 工业级	工业级	Part Number: TPL910A | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.2 | Maximum Input Voltage (V): 6.5 | Output Voltage (V): Adjustable (0.8 to 6) | Accuracy (max): ±2% | Max Output Current (mA): 1000 | Iq (typ) (mA): 0.13 | Dropout (typ) (mV): 150 | PSRR @ 1kHz (dB): 80 | 
TPL910A-S	低压LDO	LDO 工业级	工业级	Part Number: TPL910A-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 2.2 | Maximum Input Voltage (V): 6.5 | Output Voltage (V): Adjustable (0.8 to 6) | Accuracy (max): ±2% | Max Output Current (mA): 1000 | Iq (typ) (mA): 0.13 | Dropout (typ) (mV): 150 | PSRR @ 1kHz (dB): 80 
TPL910Q	低压LDO	LDO 车规AEC-Q100	车规AEC-Q100	Part Number: TPL910Q | Status: Production | Rating: Automotive | Minimum Input Voltage (V): 2.2 | Maximum Input Voltage (V): 6.5 | Output Voltage (V): Adjustable (0.8 to 5) | Accuracy (max): ±2% | Max Output Current (mA): 1000 | Iq (typ) (mA): 0.13 | Dropout (typ) (mV): 150 | PSRR @ 1kHz (dB): 78 | 
TPL9208-S	低压LDO	LDO 工业级	工业级	Part Number: TPL9208-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.1 | Maximum Input Voltage (V): 6.5 | Output Voltage (V): Adjustable (0.8 to 5.2) | Accuracy (max): ±1% | Max Output Current (mA): 2000 | Iq (typ) (mA): 5 | Dropout (typ) (mV): 80 | PSRR @ 1kHz (dB): 72 | 
TPL9218-S	低压LDO	LDO 工业级	工业级	Part Number: TPL9218-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.4 | Maximum Input Voltage (V): 6.5 | Output Voltage (V): Adjustable (0.8 to 5.2) | Accuracy (max): ±1% | Max Output Current (mA): 2000 | Iq (typ) (mA): 5 | Dropout (typ) (mV): 80 | PSRR @ 1kHz (dB): 70 | 
TPL9305-S	低压LDO	工业级 LDO	工业级	Part Number: TPL9305-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.1 | Maximum Input Voltage (V): 6.5 | Output Voltage (V): Adjustable (0.5 to 5.2) | Accuracy (max): ±1% | Max Output Current (mA): 3000 | Iq (typ) (mA): 5 | Dropout (typ) (mV): 120 | PSRR @ 1kHz (dB): 65 |
TPL9308	低压LDO	LDO 工业级	工业级	Part Number: TPL9308 | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.1 | Maximum Input Voltage (V): 6.5 | Output Voltage (V): Adjustable (0.8 to 5.2) | Accuracy (max): ±1% | Max Output Current (mA): 3000 | Iq (typ) (mA): 5 | Dropout (typ) (mV): 120 | PSRR @ 1kHz (dB): 65 | N
TPL9308-S	低压LDO	LDO 工业级	工业级	Part Number: TPL9308-S | Status: Production | Rating: Industrial | Minimum Input Voltage (V): 1.1 | Maximum Input Voltage (V): 6.5 | Output Voltage (V): Adjustable (0.8 to 5.2) | Accuracy (max): ±1% | Max Output Current (mA): 3000 | Iq (typ) (mA): 5 | Dropout (typ) (mV): 120 | PSRR @ 1kHz (dB): 65 |
TPM0596	步进马达驱动	马达驱动 工业级	工业级	Part Number: TPM0596 | Status: Production | Rating: Industrial | VIN (V): 5~50 | Number of Channels: 8 | Max Output Current (A): 0.5 | Features: Shift Register | Package: TSSOP16
TPM0596C	步进马达驱动	马达驱动 工业级	工业级	Part Number: TPM0596C | Status: Production | Rating: Industrial | VIN (V): 5~50 | Number of Channels: 8 | Max Output Current (A): 0.5 | Features: Shift Register | Package: QFN3X3-16,TSSOP16
TPM1020	非隔离栅极驱动	非隔离栅极驱动 工业级	工业级	Part Number: TPM1020 | Status: Production | Rating: Industrial | VIN (V): 4.75~5.25 | Number of Channels: 1 | Max Output Current (A): 7 | Input Range (V): 0~5 | Junction Temperature Range (℃): -40 to +150 | Rise/Fall Time (ns): 0.225/0.44 | Propagation Delay (ns): 0.3 | Delay Matching (ns): N/A | Pa
TPM1025	非隔离栅极驱动	非隔离栅极驱动 工业级	工业级	Part Number: TPM1025 | Status: Production | Rating: Industrial | VIN (V): 4.75~5.25 | Number of Channels: 1 | Max Output Current (A): 7 | Input Range (V): 0~5 | Junction Temperature Range (℃): -40 to +150 | Rise/Fall Time (ns): 0.225/0.44 | Propagation Delay (ns): 0.3 | Delay Matching (ns): N/A | Pa
